,ID,Elem,Alpha,Niv,Param,NS,Val
394,P-13,Tub,0.1,Inf,Q,6,5.667780876159668
395,P-13,Tub,0.1,Inf,V,6,0.7102311849594116
396,P-15,Tub,0.1,Inf,Q,6,30.716211318969727
397,P-15,Tub,0.1,Inf,V,6,0.599561333656311
398,P-17,Tub,0.1,Inf,Q,6,6.650124549865723
399,P-17,Tub,0.1,Inf,V,6,0.3645588159561157
400,P-20,Tub,0.1,Inf,Q,6,27.600059509277344
401,P-20,Tub,0.1,Inf,V,6,0.842764675617218
402,P-22,Tub,0.1,Inf,Q,6,15.282172203063965
403,P-22,Tub,0.1,Inf,V,6,0.8377664089202881
404,P-24,Tub,0.1,Inf,Q,6,12.31790542602539
405,P-24,Tub,0.1,Inf,V,6,0.6752657294273376
406,P-25,Tub,0.1,Inf,Q,6,7.794686317443848
407,P-25,Tub,0.1,Inf,V,6,0.976754367351532
408,P-27,Tub,0.1,Inf,Q,6,5.448965549468994
409,P-27,Tub,0.1,Inf,V,6,0.2987114489078522
410,P-30,Tub,0.1,Inf,Q,6,5.529270648956299
411,P-30,Tub,0.1,Inf,V,6,0.30311375856399536
412,P-44,Tub,0.1,Inf,Q,6,5.025979995727539
413,P-44,Tub,0.1,Inf,V,6,0.6476729512214661
414,P-58,Tub,0.1,Inf,Q,6,7.487486362457275
415,P-58,Tub,0.1,Inf,V,6,0.9648749232292175
416,P-176,Tub,0.1,Inf,Q,6,5.667780876159668
417,P-176,Tub,0.1,Inf,V,6,0.7303786277770996
418,P-182,Tub,0.1,Inf,Q,6,5.613043785095215
419,P-182,Tub,0.1,Inf,V,6,0.7233249545097351
420,J-74,Nod,0.1,Inf,P,7,47.59168243408203
421,J-80,Nod,0.1,Inf,P,7,48.63517761230469
422,J-112,Nod,0.1,Inf,P,7,48.75578308105469
423,J-126,Nod,0.1,Inf,P,7,49.526832580566406
424,J-143,Nod,0.1,Inf,P,7,47.83238220214844
425,J-145,Nod,0.1,Inf,P,7,47.96456527709961
426,J-191,Nod,0.1,Inf,P,7,49.026451110839844
427,J-236,Nod,0.1,Inf,P,7,50.25971984863281
428,J-253,Nod,0.1,Inf,P,7,12.840068817138672
429,J-266,Nod,0.1,Inf,P,7,12.273416519165039
430,J-286,Nod,0.1,Inf,P,7,14.0343017578125
431,J-292,Nod,0.1,Inf,P,7,10.023366928100586
432,J-297,Nod,0.1,Inf,P,7,13.032939910888672
433,J-299,Nod,0.1,Inf,P,7,12.781340599060059
434,J-304,Nod,0.1,Inf,P,7,11.86730670928955
435,J-332,Nod,0.1,Inf,P,7,13.534637451171875
436,J-336,Nod,0.1,Inf,P,7,47.799800872802734
437,J-357,Nod,0.1,Inf,P,7,13.326925277709961
438,J-361,Nod,0.1,Inf,P,7,12.83759593963623
439,J-371,Nod,0.1,Inf,P,7,49.08156204223633
440,P-2,Tub,0.1,Inf,Q,7,12.882946968078613
441,P-2,Tub,0.1,Inf,V,7,0.706241250038147
442,P-4,Tub,0.1,Inf,Q,7,37.22494888305664
443,P-4,Tub,0.1,Inf,V,7,0.7266078591346741
444,P-6,Tub,0.1,Inf,Q,7,5.533655643463135
445,P-6,Tub,0.1,Inf,V,7,0.3033541738986969
446,P-7,Tub,0.1,Inf,Q,7,5.533023357391357
447,P-7,Tub,0.1,Inf,V,7,0.6933447122573853
448,P-9,Tub,0.1,Inf,Q,7,5.627091407775879
449,P-9,Tub,0.1,Inf,V,7,0.3084762990474701
450,P-10,Tub,0.1,Inf,Q,7,7.6260552406311035
451,P-10,Tub,0.1,Inf,V,7,0.9556231498718262
